Date,Close,tby,ffr,fta,eps,div,une
2020-04-15,2783.36,0.63,0.05,6367887.0,119.38,2.41,14.8
2020-04-16,2799.55,0.61,0.05,6367887.0,119.38,2.41,14.8
2020-04-17,2874.56,0.65,0.05,6367887.0,119.38,2.41,14.8
2020-04-20,2823.16,0.63,0.05,6367887.0,119.38,2.41,14.8
2020-04-21,2736.56,0.58,0.05,6367887.0,119.38,2.41,14.8
2020-04-22,2799.31,0.63,0.05,6573136.0,119.38,2.41,14.8
2020-04-23,2797.8,0.61,0.05,6573136.0,119.38,2.41,14.8
2020-04-24,2836.74,0.6,0.05,6573136.0,119.38,2.41,14.8
2020-04-27,2878.48,0.67,0.05,6573136.0,119.38,2.41,14.8
2020-04-28,2863.39,0.62,0.05,6573136.0,119.38,2.41,14.8
2020-04-29,2939.51,0.63,0.05,6655929.0,119.38,2.41,14.8
2020-04-30,2912.43,0.64,0.05,6655929.0,114.29,2.16,14.8
2020-05-01,2830.71,0.64,0.05,6655929.0,114.29,2.1,13.3
2020-05-04,2842.74,0.64,0.05,6655929.0,114.29,2.1,13.3
2020-05-05,2868.44,0.66,0.05,6655929.0,114.29,2.1,13.3
2020-05-06,2848.42,0.72,0.05,6721420.0,114.29,2.1,13.3
2020-05-07,2881.19,0.63,0.05,6721420.0,114.29,2.1,13.3
2020-05-08,2929.8,0.69,0.05,6721420.0,114.29,2.1,13.3
2020-05-11,2930.32,0.73,0.05,6721420.0,114.29,2.1,13.3
2020-05-12,2870.12,0.69,0.05,6721420.0,114.29,2.1,13.3
2020-05-13,2820.0,0.64,0.05,6934227.0,114.29,2.1,13.3
2020-05-14,2852.5,0.63,0.05,6934227.0,114.29,2.1,13.3
2020-05-15,2863.7,0.64,0.05,6934227.0,114.29,2.1,13.3
2020-05-18,2953.91,0.73,0.05,6934227.0,114.29,2.1,13.3
2020-05-19,2922.94,0.7,0.05,6934227.0,114.29,2.1,13.3
2020-05-20,2971.61,0.68,0.05,7037258.0,114.29,2.1,13.3
