Date, Open, High, Low, Close
05/11/12, 1171.07, 1178.53, 1159.57, 1161.12
05/10/12, 1172.80, 1181.38, 1168.54, 1171.07
05/09/12, 1162.53, 1170.72, 1151.40, 1161.35
05/08/12, 1182.25, 1183.33, 1161.04, 1181.28
05/07/12, 1188.75, 1196.63, 1181.49, 1192.29
05/04/12, 1211.82, 1211.82, 1186.83, 1193.03
05/03/12, 1236.44, 1237.27, 1215.31, 1220.36
05/02/12, 1241.61, 1241.61, 1232.21, 1236.34
05/01/12, 1237.97, 1260.34, 1237.20, 1253.85
04/30/12, 1235.38, 1236.36, 1228.70, 1235.54
04/27/12, 1226.07, 1229.43, 1219.47, 1224.20
04/26/12, 1204.17, 1225.77, 1203.44, 1224.53
04/25/12, 1211.67, 1214.40, 1195.07, 1204.92
04/24/12, 1199.07, 1204.26, 1194.66, 1203.33
04/23/12, 1181.51, 1198.05, 1178.83, 1196.44
04/20/12, 1208.09, 1213.63, 1201.63, 1202.79
04/19/12, 1208.41, 1213.55, 1198.69, 1202.60
04/18/12, 1210.50, 1215.88, 1207.21, 1210.30
04/17/12, 1211.68, 1220.62, 1208.97, 1216.14
04/16/12, 1209.39, 1211.55, 1195.14, 1198.93
04/13/12, 1223.89, 1223.89, 1200.64, 1201.15
04/12/12, 1200.98, 1226.07, 1200.64, 1223.89
04/11/12, 1214.49, 1218.15, 1199.70, 1200.59
04/10/12, 1225.99, 1227.14, 1199.02, 1200.80
04/09/12, 1225.59, 1235.15, 1224.63, 1228.39
04/05/12, 1251.42, 1256.68, 1241.13, 1243.65
04/04/12, 1254.48, 1258.17, 1245.78, 1251.42
04/03/12, 1279.17, 1279.67, 1258.70, 1269.00
04/02/12, 1265.62, 1291.68, 1261.41, 1283.90
03/30/12, 1264.91, 1269.48, 1256.48, 1267.43
03/29/12, 1253.09, 1262.48, 1240.35, 1261.15
03/28/12, 1275.72, 1277.29, 1255.14, 1264.45
03/27/12, 1293.36, 1293.36, 1279.93, 1280.27
03/26/12, 1293.37, 1299.12, 1292.24, 1298.42
03/23/12, 1273.20, 1285.75, 1267.16, 1283.12
03/22/12, 1298.13, 1298.13, 1266.50, 1271.60
03/21/12, 1306.75, 1306.96, 1295.10, 1298.13
03/20/12, 1319.77, 1319.77, 1307.05, 1307.81
03/19/12, 1323.53, 1335.28, 1321.33, 1330.71
03/16/12, 1314.51, 1327.79, 1314.51, 1323.77
03/15/12, 1316.91, 1319.53, 1304.40, 1313.76
03/14/12, 1328.52, 1332.83, 1312.01, 1314.59
03/13/12, 1320.22, 1328.55, 1310.10, 1328.31
03/12/12, 1317.25, 1317.75, 1310.49, 1316.35
03/09/12, 1326.14, 1330.03, 1317.23, 1319.54
03/08/12, 1317.64, 1328.84, 1315.17, 1324.59
03/07/12, 1303.66, 1314.54, 1297.12, 1310.84
03/06/12, 1313.07, 1313.07, 1296.12, 1303.47
03/05/12, 1330.89, 1330.89, 1317.43, 1329.45
03/02/12, 1341.62, 1341.62, 1328.40, 1332.47
03/01/12, 1330.50, 1347.16, 1330.50, 1345.52
